店名,最寄り駅,予算帯,おすすめポイント
梅丘寿司の美登利総本店 渋谷店,渋谷駅 直結,昼2000-3000円/夜3000-4000円,豊洲直送の上質ネタをリーズナブルに。行列必至の人気店
築地寿司清 渋谷店,渋谷駅 徒歩2分,昼1000-2000円/夜5000-8000円,明治創業の老舗江戸前。個室ありでコスパランチが絶品
まぐろ問屋 三浦三崎港 恵み 渋谷ヒカリエ店,渋谷駅 直結,昼1000-2000円,まぐろ問屋直営。新鮮なまぐろを低価格で楽しめる
金沢まいもん寿司 渋谷パルコ店,渋谷駅 徒歩5分,昼2000-3000円/夜6000-9000円,北陸・加賀の希少ネタを職人が握る
回し寿司 活 活美登利 西武渋谷店,渋谷駅 徒歩1分,2000-3000円,一皿143円～の大きなネタ。高コスパの大型回転寿司
すし龍,渋谷駅 徒歩2分,昼2000-3000円,完全個室完備で接待にも。本格江戸前寿司
松栄 渋谷スクランブルスクエア店,渋谷駅 直結,昼5000-6000円/夜8000-10000円,高層ビルで夜景を眺めながら味わう江戸前
やじま,渋谷駅 新南口 徒歩5分,昼6000-8000円,名物大将が握るとろけるような個性派寿司
寿司魚がし日本一 渋谷店,渋谷駅 徒歩5分,昼～1000円/夜2000-3000円,立食で気軽に。江戸前寿司をリーズナブルに
KINKA sushi bar izakaya 渋谷,渋谷駅 徒歩4分,昼1000-2000円/夜6000-8000円,カナダ発の新感覚寿司バー。モザイク寿司など創作系
